Years,Enrollment
1984,604
1985,270
1988,188
1988,178
1988,102
1989,60
1989,56
1989,47
1990,110
1990,59
1990,195
1991,122
1991,431
1992,294
1992,267
1992,428
1992,115
1992,99
1992,80
1992,16
1992,30
1992,51
1993,306
1993,268
1993,208
1993,321
1993,60
1993,100
1993,614
1993,361
1993,578
1993,603
1993,485
1994,103
1994,362
1994,80
1994,80
1994,90
1995,650
1995,496
1995,1473
1995,1268
1995,1959
1995,473
1995,933
1995,47
1995,150
1995,60
1995,130
1995,451
1995,349
1995,156
1995,201
1995,554
1996,1334
1996,1008
1996,1141
1996,1513
1996,7460
1996,77
1996,2491
1996,300
1996,60
1996,396
1996,375
1996,41
1997,75
1997,998
1997,0
1997,40
1997,36
1997,1491
1997,55
1997,82
1997,14
1997,240
1997,2800
1997,418
1997,436
1997,1224
1997,689
1997,550
1997,163
1997,116
1997,340
1997,160
1997,380
1997,40
1997,116
1997,865
1997,438
1997,413
1997,110
1997,151
1997,653
1997,387
1997,172
1997,220
1997,0
1997,48
1997,38
1998,0
1998,0
1998,2887
1998,2246
1998,610
1998,568
1998,0
1998,525
1998,55
1998,0
1998,60
1998,4740
1998,325
1998,455
1998,4732
1998,0
1998,412
1998,8600
1998,600
1998,60
1998,355
1998,126
1998,300
1998,91
1998,1099
1998,480
1998,336
1998,1167
1998,38
1998,200
1998,41
1998,78
1998,200
1998,765
1998,43
1998,312
1998,32
1998,63
1998,680
1998,68
1998,49
1998,344
1998,593
1998,0
1998,1987
1998,360
1998,40
1999,36
1999,0
1999,58
1999,0
1999,500
1999,537
1999,51
1999,277
1999,0
1999,0
1999,0
1999,0
1999,0
1999,0
1999,180
1999,750
1999,240
1999,8600
1999,293
1999,345
1999,600
1999,320
1999,300
1999,320
1999,300
1999,446
1999,544
1999,89
1999,583
1999,17
1999,59
1999,4497
1999,132
1999,62
1999,1997
1999,907
1999,600
1999,67
1999,2586
1999,1551
1999,2409
1999,141
1999,100
1999,165
1999,40
1999,1303
1999,230
1999,11
1999,200
1999,0
1999,0
1999,0
1999,230
1999,0
1999,145
1999,0
1999,440
1999,150
1999,1029
1999,688
1999,273
1999,750
1999,458
1999,80
1999,53
1999,316
1999,176
1999,403
1999,300
1999,68
1999,146
1999,40
2000,0
2000,0
2000,0
2000,0
2000,10
2000,240
2000,41
2000,450
2000,1008
2000,15
2000,27
2000,764
2000,35
2000,45
2000,984
2000,42
2000,12
2000,0
2000,120
2000,240
2000,38
2000,314
2000,1096
2000,606
2000,30
2000,0
2000,1372
2000,470
2000,615
2000,971
2000,0
2000,0
2000,0
2000,275
2000,0
2000,312
2000,143
2000,148
2000,330
2000,36
2000,1106
2000,35
2000,309
2000,97
2000,171
2000,325
2000,324
2000,829
2000,244
2000,227
2000,162
2000,360
2000,3927
2000,220
2000,150
2000,1158
2000,256
2000,367
2000,1913
2000,1577
2000,801
2000,319
2000,24
2000,177
2000,141
2000,529
2000,60
2000,405
2000,100
2000,245
2000,15
2000,336
2000,624
2000,200
2000,210
2000,80
2000,6228
2000,4426
2000,150
2000,30
2000,0
2000,160
2000,93
2000,5000
2000,141
2000,197
2000,951
2000,782
2000,71
2000,6
2000,204
2000,799
2000,473
2000,84
2000,939
2000,211
2000,629
2000,561
2000,385
2000,38
2000,1293
2000,383
2000,363
2000,641
2000,211
2000,267
2000,596
2000,199
2000,241
2000,198
2000,811
2000,180
2000,605
2001,3222
2001,8
2001,1522
2001,1033
2001,1045
2001,3045
2001,35
2001,338
2001,8000
2001,170
2001,240
2001,284
2001,82
2001,45
2001,449
2001,1024
2001,63
2001,140
2001,629
2001,615
2001,800
2001,20
2001,3299
2001,91
2001,2000
2001,220
2001,95
2001,352
2001,1507
2001,38
2001,80
2001,86
2001,80
2001,414
2001,31
2001,1941
2001,375
2001,212
2001,179
2001,0
2001,230
2001,219
2001,120
2001,600
2001,9779
2001,120
2001,343
2001,149
2001,653
2001,1561
2001,325
2001,300
2001,200
2001,321
2001,82
2001,384
2001,511
2001,290
2001,0
2001,3800
2001,46
2001,36
2001,43
2001,7609
2001,51
2001,1742
2001,14
2001,1000
2001,84
2001,0
2001,500
2001,54
2001,484
2001,172
2001,708
2001,19
2001,185
2001,84
2001,0
2001,31
2001,184
2001,275
2001,84
2001,113
2001,14
2001,330
2001,173
2001,994
2001,540
2001,0
2001,69274
2001,322
2001,37
2001,99
2001,132
2001,1877
2001,60
2001,708
2001,5759
2001,400
2001,55
2001,24
2001,98
2001,180
2001,3834
2001,413
2001,468
2001,4534
2001,514
2001,63
2001,1365
2001,300
2001,400
2001,1873
2001,1214
2001,584
2001,214
2001,900
2001,450
2001,756
2001,0
2001,58
2001,0
2001,1210
2001,50
2001,500
2001,190
2001,143
2001,500
2001,700
2001,1079
2001,500
2001,300
2001,312
2001,2464
2001,26
2001,140
2001,520
2001,1
2001,1309
2001,400
2001,2640
2001,760
2001,1210
2001,501
2001,25
2001,750
2001,150
2001,1113
2001,450
2001,4447
2001,908
2001,760
2001,330
2001,102
2001,54
2001,414
2001,26
2001,218
2001,139
2001,31
2001,375
2001,279
2001,141
2001,254
2001,338
2001,60
2001,434
2001,659
2001,254
2001,541
2001,768
2001,179
2001,31
2001,72
2001,422
2001,1063
2001,375
2001,223
2001,763
2001,786
2001,974
2001,100
2001,531
2001,530
2001,381
2001,226
2001,291
2001,439
2001,973
2001,398
2001,217
2001,292
2001,252
2001,120
2001,314
2001,264
2001,32
2001,56
2001,683
2001,0
2001,0
2001,208
2001,67
2001,52
2001,5099
2001,57
2001,52
2001,0
2001,0
2001,137
2001,413
2001,13
2001,5
2001,69
2001,24
2001,161
2002,300
2002,44
2002,60
2002,40
2002,1000
2002,1000
2002,40
2002,1200
2002,59
2002,250
2002,30
2002,129
2002,30
2002,334
2002,15603
2002,61
2002,274
2002,16
2002,4726
2002,20506
2002,0
2002,861
2002,0
2002,0
2002,20
2002,147
2002,46
2002,439
2002,18
2002,620
2002,489
2002,432
2002,20
2002,150
2002,171
2002,100
2002,125
2002,602
2002,2346
2002,7376
2002,373
2002,260
2002,165
2002,61
2002,249
2002,108
2002,351
2002,668
2002,86
2002,58
2002,90
2002,32
2002,21
2002,248
2002,43
2002,42
2002,39
2002,33
2002,653
2002,174
2002,264
2002,71
2002,20
2002,170
2002,66
2002,6
2002,172
2002,13
2002,739
2002,212
2002,30
2002,20
2002,111
2002,100
2002,0
2002,19
2002,31
2002,16
2002,42
2002,310
2002,262
2002,500
2002,168
2002,179
2002,108
2002,87
2002,850
2002,635
2002,582
2002,200
2002,50
2002,344
2002,137
2002,329
2002,132
2002,485
2002,163
2002,976
2002,337
2002,160
2002,276
2002,600
2002,90
2002,260
2002,0
2002,615
2002,0
2002,3973
2002,615
2002,330
2002,330
2002,21
2002,39
2002,200
2002,650
2002,503
2002,66
2002,190
2002,9779
2002,30
2002,160
2002,6
2002,18239
2002,84
2002,84
2002,149
2002,393
2002,43
2002,249
2002,120
2002,73
2002,100
2002,17
2002,360
2002,275
2002,163
2002,20
2002,185
2002,300
2002,340
